course,course_name,course_number,description,credit_hours
MCB 252,"Cells, Tissues & Development",252,"Functional organization and physiology of cells and tissues, including cellular signaling, cellular interactions, and developmental processes. Students who enter the University Fall 2011 or later are responsible for additional course-based tuition of $300 unless they are already paying differential tuition during the term of course enrollment.  Additional fees may apply. See Class Schedule. Prerequisite: MCB 250 or equivalent with consent of instructor.",3 hours.
MCB 290,Undergraduate Research,290,"Students assist in and /or conduct research under faculty supervision in an MCB research laboratory. The topics and nature of the work will vary but will be defined as work conducted in MCB research laboratories. For each hour of course credit in fall and spring terms, the student will be expected to complete 5 hours of work in the lab as directed. 75-80 total hours would be the expectation for 1 credit hour during 15-16 week terms. May be repeated to a maximum of 10 hours. Prerequisite: Consent of instructor.",1 TO 5 hours.
MCB 317,Genetics and Genomics,317,"Study of genetics as a discipline, genetic analysis as a tool to understand biology and the role of genome sciences in biology. Credit is not given for both MCB 317 and MCB 316. Prerequisite: MCB 250, MCB 251, MCB 252, and MCB 253; or consent of instructor.",4 hours.
MCB 450,Introductory Biochemistry,450,"Chemistry and metabolism of carbohydrates, lipids, proteins, nucleic acids, vitamins, and coenzymes and their relation to the regulation and processes of organisms, cells, and subcellular components. Students who enter the University Fall 2011 or later are responsible for additional course-based tuition of $300 unless they are already paying differential tuition during the term of course enrollment. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Credit is not given for both MCB 450 and MCB 354. Prerequisite: CHEM 232 or CHEM 236, or equivalent, or consent of instructor. Not intended for students in the MCB or biochemistry curricula.",3 hours.
MDIA 590,Special Topics,590,May be repeated in the same or in multiple semesters if topics vary.,2 TO 8 hours.
MDIA 599,Thesis Research,599,Approved for S/U grading only. May be repeated to a maximum of 16 hours.,0 TO 16 hours.
ME 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
ME 200,Thermodynamics,200,Classical thermodynamics through the second law; system and control-volume analyses of thermodynamic processes; irreversibility and availability; relations for ideal gas mixtures. Prerequisite: MATH 241.,3 hours.
ME 297,Introductory Independent Study,297,Independent study and/or individual projects related to mechanical engineering. Approved for Letter and S/U grading. May be repeated to a maximum of 6 credit hours for letter grade; no limit for S/U grade mode. Prerequisite: Consent of Instructor.,1 TO 3 hours.
ME 400,Energy Conversion Systems,400,"Processes and systems for energy conversion, including power and refrigeration cycles, air conditioning, thermoelectrics and fuel cells; ideal-gas mixtures and psychrometrics. 3 undergraduate hours. 4 graduate hours. Prerequisite: ME 200.",3 OR 4 hours.
ME 471,Finite Element Analysis,471,"The finite element method and its application to engineering problems: truss and frame structures, heat conduction, and linear elasticity; use of application software; overview of advanced topics such as structural dynamics, fluid flow, and nonlinear structural analysis. Same as AE 420 and CSE 451. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given for both ME 471 and CEE 470. Prerequisite: CS 101 and ME 371 or TAM 470. Alternatively, AE 370 for AE students.",3 OR 4 hours.
ME 496,Honors Project,496,Special project or reading course for James Scholars in engineering. 1 to 4 undergraduate hours. No graduate credit. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
ME 497,Independent Study,497,"Independent study of advanced problems related to mechanical engineering. 1 to 3 undergraduate hours. No graduate credit. May be repeated in separate terms to a maximum of 6 hours, as topics vary. Prerequisite: Consent of Instructor. Students with Junior or Senior standing.",1 TO 3 hours.
ME 597,Independent Study,597,Independent study of advanced problems related to mechanical engineering. May be repeated in the same term or in separate terms if topics vary to a maximum of 12 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
ME 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
MICR 590,Individual Topics,590,Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,1 TO 16 hours.
MICR 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
MILS 341,Leadership and Management,341,"Fundamentals of military law including Law of Land Welfare, the application of federal law to the military, and the military justice system. Examines ethics, values, and professional standards through case studies. Includes introductory instruction on training management. Prerequisite: Successful completion of MILS 301 and MILS 302 is required to enroll in MILS 341.",3 hours.
MIP 590,Individual Topics,590,For graduate students wishing to study individual problems or topics not assigned in other courses. Approved for S/U grading only. May be repeated. Prerequisite: Approval of department.,1 TO 16 hours.
MIP 599,Thesis Research,599,Research may be conducted under supervision of the thesis advisor in the following areas: (a) cellular and molecular physiology; (b) comparative physiology; (c) mammalian physiology; (d) human physiology; (e) endocrinology; (f) neurophysiology; (g) radiobiology; and (h) environmental and stress physiology. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
MSE 199,Undergraduate Open Seminar,199,May be repeated to a maximum of 5 hours. May be repeated in the same term.,1 TO 5 hours.
MSE 280,Engineering Materials,280,"Materials science and engineering of ceramics, electronic materials, metals and polymers. Bonding; crystallography; imperfections; processing and properties of semiconductors, polymers, metals, ceramics and composites; phase diagrams. Case studies. Credit is not given for both MSE 280 and any of CEE 300, ME 330, MSE 201. Prerequisite: CHEM 102 and PHYS 211.",3 hours.
MSE 397,Independent Study,397,Individual study of any topic in materials science and engineering selected by the student and conducted under the supervision of a member of the faculty. May be repeated to a maximum of 4 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
MSE 497,Independent Study,497,Individual study of any topic in materials science and engineering under the supervision of a member of the faculty. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated to a maximum of 4 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
MSE 498,Special Topics,498,Subject offerings of new and developing areas of knowledge in materials science and engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,1 TO 4 hours.
MSE 499,Senior Thesis,499,Individual research in an area of materials science and engineering under the supervision of members of the staff. 1 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Grade point average of 3.0 and consent of instructor.,1 TO 5 hours.
MSE 590,Research Seminars,590,Discussions and lectures on current research under the direction of individual staff members. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.,0 TO 1 hours.
MSE 597,Independent Study,597,Individual study of any topic in materials science and engineering under the supervision of a member of the faculty. May be repeated to a maximum of 4 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
MSE 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
MUS 408,Analysis of Musical Form,408,Extensive study of the formal structure of representative musical compositions from various historical periods: (a) Renaissance and Baroque; (b) Viennese classical; (c) nineteenth century; (d) first half of twentieth century; and (e) since World War II. 3 undergraduate hours. 3 graduate hours. May be repeated to a maximum of 9 hours. Prerequisite: MUS 202 and MUS 208.,3 hours.
MUS 441,Contemp Issues in Inst Mus Ed,441,"Research-based investigation of concepts and principles of school band programs including repertoire and curriculum, score study and teaching strategies, and leadership and advocacy. 2 undergraduate hours. 2 graduate hours. Prerequisite: Completion of student teaching, graduate standing in music education, or consent of instructor.",2 hours.
MUS 444,Healthy Music Practices,444,"This course is intended for the promotion of healthy musical and lifestyle habits and choices, as well as enhancement as a performer and teacher through knowledge of all aspects of their musical selves - physical, psychological, and spiritual. The course will focus on general self-care but will also cover the four target areas identified by the Health Promotion in Schools of Music Conference as crucial for musicians: musculoskeletal issues, hearing conservation, voice care, and psychological issues. 2 undergraduate hours. 2 graduate hours. Prerequisite: Music students, or instructor approval.",2 hours.
MUS 447,Advanced Music Ed Technology,447,"A deepening of ideas and skills presented in MUS 243. Provides advanced exploration and construction of digital learning environments, as well as exploring the computer as a musical instrument. Students will work alone and in teams to create curricular materials grounded by historical, philosophical, and research in technology and education. 2 or 4 undergraduate hours. 2 or 4 graduate hours. Prerequisite: MUS 240, MUS 243; or grad standing; or consent of instructor.",2 OR 4 hours.
MUS 459,Professional Internship,459,"Professional work with an approved musical organization that is external to the School of Music, in an area related to the student's academic program; exposure to and participation in professional music-related activities. Full documentation and approval of internship activities required. The default credit will always be 0 credits unless a student, with the faculty advisor's support, petitions the appropriate academic committee (UG or Grad) with a detailed proposal outlining the academic nature, content, and scope of the internship. 0 to 12 undergraduate hours. 0 to 12 graduate hours. Approved for S/U grading only. May be repeated in separate terms to a maximum of 4 hours if topics vary.",0 TO 12 hours.
MUS 514,Musicology and Pedagogy,514,"Seminar-style practicum in the teaching of undergraduate courses in Western and non-western music for musicology and non-musicology majors. Intensive review and discussion of pedagogical materials. Instruction in syllabus and lecture design, presentational and discussion styles, and use of multimedia and educational technology. Prerequisite: Graduate musicology majors or consent of instructor.",4 hours.
MUS 524,Sem in Wrks of Select Composer,524,"Intensive historical and analytical study of the works of important composers; each term devoted to one composer. May be repeated to a maximum of 16. (Summer session, 2 or 4 graduate hours). Prerequisite: Graduate standing in musicology or consent of instructor. Graduate students in music will be considered if they passed MUS 528A (consult Class Schedule for specific section information).",2 OR 4 hours.
MUS 528,Res & Bibliography in Music,528,"Introduction to basic research skills appropriate to graduate study in music. Topics include accessing library resources and online databases; citation formats and plagiarism issues; critical reading and writing; and critical editions of music. For DMA students additional topics include skills for planning and writing a large research paper; study strategies and resources; and professional skills. All DMA students will complete a draft of their proposal for a final DMA project by the conclusion of this class. Required of all incoming graduate students in the MM (2 hours of credit), except those majoring in musicology, and in the DMA (4 hours of credit). Prerequisite: If required, all remedial coursework in ESL and/or music history must be satisfied prior to enrollment.",2 OR 4 hours.
MUS 532,Curricular Perspectives on Music Education,532,Examines current issues and trends within music education from both a local and global perspective. Focuses on the status and role of the music curriculum in contemporary schools and includes a critical examination of a range of evidence-based principles and approaches that govern music teaching and learning in formal and informal settings. Prerequisite: Graduate standing in music education or consent of instructor.,4 hours.
MUS 533,Research in Music Education,533,"Examines the sources of research literature in music education, provides an overview of traditional research methodologies, and introduces terminology and procedures utilized in qualitative and quantitative research. The purpose of the course is to enable graduate students to become intelligent consumers and interpreters of the music education research literature. Prerequisite: Advanced undergraduate or graduate standing in music or music education, or consent of instructor.",2 OR 4 hours.
MUS 545,Topics in Music Education,545,In-depth study of a topic or issue within music education. May be repeated. Prerequisite: Graduate standing in music education.,1 TO 4 hours.
MUS 569,Capstone Project Synthesis,569,Completion of Master of Music Education curriculum and inquiry capstone project in approved area(s) of study. MME students complete two capstone projects; MME with Licensure students complete one capstone project. 2 graduate hours. No professional credit. Prerequisite: MUS 532 and MUS 533.,2 hours.
MUS 576,Doctoral Projects,576,"Special projects for candidates for the Doctor of Musical Arts degree. Open only to students in the Doctor of Musical Arts program. Approved for S/U grading only. May be repeated. (Summer session, 0 to 8 graduate hours). Prerequisite: Consent of instructor.",0 TO 16 hours.
MUS 599,Thesis Research,599,Research in special projects. Approved for S/U grading only. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,0 TO 16 hours.
MUSE 390,Museum Internship,390,"Supervised field experience in museums, both on and off-campus, designed to introduce students to professional practice. Builds on museum studies coursework, and provides opportunities for applying academic knowledge and analyzing personal development. Students work part-time (150 hours) in a program-approved museum under the guidance of an instructional team. Requires an internship contract before the term, regular reporting and documentation during the term, and compilation of a project portfolio at the end of the term. May be repeated in same and separate terms to a maximum of six hours. Prerequisite: Three courses (nine hours) within the undergraduate minor in Museum Studies. Requires approval of the Museum Studies program advisor.",3 hours.
NEUR 590,Indiv Topics Neuroscience,590,"Individual topics of research supervised by Neuroscience faculty. Usually taken in one of the eight Neuroscience concentration areas: 1) neuroanatomy, 2) neurophysiology, 3) cognitive and behavioral neuroscience, 4) neurochemistry, neuropharmacology and neurotoxicology, 5) neuroendocrinology and neuroimmunology, 6) developmental genetic and molecular neuroscience, 7) clinical and biomedical neuroscience, 8) computational neuroscience. Typically taken by students before they choose their thesis topic. Approved for S/U grading only. May be repeated in the same or subsequent terms. Prerequisite: Consent of instructor.",1 TO 16 hours.
NEUR 598,Proseminar in Psychology,598,"Weekly presentation and discussions of current research by faculty, graduate students and visiting scholars. Sections of these proseminars are offered by each division in the Psychology Department. Requirements include attendance and participation in discussion. Same as PSYC 598. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated.",0 TO 4 hours.
NEUR 599,Thesis Research,599,Research on the thesis topic and preparation of the thesis. Approved for S/U grading only. May be repeated in the same or subsequent terms. Prerequisite: Consent of instructor.,0 TO 16 hours.
NPRE 397,Independent Study,397,Individual investigations or studies of any phase of nuclear engineering selected by the student and approved by the department. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
NPRE 402,Nuclear Power Engineering,402,"Principles of utilization of fission energy in nuclear power engineering; includes such topics as fission processes and controlled chain reactions; nuclear reactor types, design principles, and operational characteristics; power reactor design criteria; radiation hazards and radioactive waste treatment; economics; other applications such as propulsion and research reactors. 3 undergraduate hours. 4 graduate hours. Credit is not given for both NPRE 402 and NPRE 247.",3 OR 4 hours.
NPRE 554,Independent Lab Investigations,554,"Individual experimental investigation in areas of nuclear, plasma, and radiological engineering. May be repeated. Prerequisite: Consent of instructor.",1 TO 8 hours.
NPRE 597,Independent Study,597,Individual study in areas of nuclear engineering and closely related fields not covered by regular course offerings. The work is carried out under the supervision of a member of the faculty. May be repeated. Prerequisite: Consent of instructor.,1 TO 8 hours.
NPRE 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
NRES 242,Nature and American Culture,242,"Appreciation and critique of cultural meanings associated with American natural landscapes. Traditional perspectives including colonial American, romantic, and science-based conservation are characterized, as well as revisionist themes aligned with gender, cultural pluralism, and societal meanings of parks and protected areas. Implications of diversity in cultural meanings toward nature are developed and provide the basis for assessing tenets of contemporary environmental policy and supporting concepts associated with community-based conservation. Same as LA 242 and RST 242.",3 hours.
NRES 293,Professional Internship,293,Off-campus experience in a field directly pertaining to a subject matter in natural resources and environmental sciences. Approved for Letter and S/U grading. May be repeated in separate terms up to 4 hours. Prerequisite: Consent of academic advisor or Department Internship Coordinator.,1 TO 4 hours.
NRES 294,Resident Internship,294,"Supervised, on-campus, learning experience with faculty engaged in research. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 4 hours. Prerequisite: Consent of academic advisor or Department Internship Coordinator.",1 TO 4 hours.
NRES 295,Undergrad Research or Thesis,295,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated in the same or subsequent terms. No more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward degree. Prerequisite: Junior standing, cumulative GPA of 2.5 or above at the time the activity is arranged, and consent of instructor.",1 TO 4 hours.
NRES 396,UG Honors Research or Thesis,396,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. May be repeated in the same or subsequent terms. No more than 12 hours of special problems, research, thesis and/or individual studies may be counted toward degree. Prerequisite: Junior standing, admission to the ACES Honors Program, and consent of instructor.",1 TO 4 hours.
NRES 472,Environmental Psychology,472,"Theory and research in environmental psychology. Topics include environmental perception, cognition, experience, values and emotion, perceived environmental quality, environmental hazards and risk perception, and conservation attitudes and behavior. Same as PSYC 472. 4 undergraduate hours. 4 graduate hours. Prerequisite: Jr. standing: PSYC 100 or PSYC 103.",4 hours.
NRES 499,Special Topics,499,Experimental course on a special topic in natural resources and environmental sciences. Additional fees may apply. See Class Schedule. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 12 hours as topics vary.,1 TO 4 hours.
NRES 501,Special Problems,501,"Individual studies or investigations in selected branches of horticulture, natural resources, and environmental sciences. Approved for letter and S/U grading. May be repeated. No more than 8 hours may be counted toward an MS degree.",0 TO 4 hours.
NRES 594,NRES Professional Orientation,594,"The philosophy and components of graduate education with development of the principles useful in teaching, research, and extension in horticulture, natural resources and environmental sciences. Students will be required to develop and submit a proposal describing planned research for their M.S. or Ph.D. thesis. Approved for S/U grading only.",1 hours.
NRES 599,Thesis Research,599,"Research conducted in various phases of horticulture, natural resources, and environmental sciences leading to a thesis in natural resources and environmental sciences. Approved for S/U grading only. May be repeated.",0 TO 12 hours.
NS 321,Evolution of Warfare,321,"Open to all students on campus, not just ROTC students. The course provides the student with a basic overview of Marine Corps history combined with its mission within the Department of Defense. To that end, three general topics are discussed: (1) Leadership and Ethics, (2) Seapower and Naval History, and (3) Technical Foundations of Naval Warfare. This course is well suited for anyone interested in learning more about what makes the Marine Corps so effective as a warfighting organization as well as students seeking to develop their leadership skills.",3 hours.
NS 323,Maneuver Warfare Fundamentals,323,"Open to all students on campus, not just ROTC students.Throughout the course we will discuss modern tactical principles, current military developments, and other aspects of warfare along with their interactions with and influences on maneuver warfare doctrine. There is a specific focus on the United States Marine Corps as the premier maneuver warfighting organization. Additionally, study will include historical influences on tactical, operational, and strategic levels of maneuver warfare practices in the current and future operating environments. This course is well suited for anyone interested in learning more about what makes the Marine Corps so effective as a warfighting organization as well as students seeking to develop their leadership skills. Prerequisite: Advanced undergraduate standing or consent of instructor.",3 hours.
NUTR 590,Disciplinary Seminar,590,"Discussions of current research, literature and careers pertaining to disciplinary specializations within the Division of Nutritional Sciences. 0 to 2 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in the same or different terms, to a maximum of 2 hours for Masters students and 4 hours for PhD students.",0 TO 2 hours.
NUTR 593,Individual Topics in Nutrition,593,"For students majoring in nutritional sciences who wish to undertake individual studies of a nonthesis nature in problems or topics not covered in other courses; may be taken under the direction of any member of the nutritional sciences faculty, with the exception of the student's own thesis adviser. 1 or 2 graduate hours. No professional credit. May be repeated within the same or different terms to a maximum of 2 hours per degree program. Prerequisite: Consent of instructor.",1 OR 2 hours.
NUTR 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 12 hours.
PATH 290,Undergraduate Research,290,Laboratory and/or field studies selected in consultation with a faculty mentor. May be repeated to a maximum of 10 hours. Prerequisite: Consent of instructor.,1 TO 5 hours.
PATH 545,Vet Diagnostic Path 1,545,"Instruction in diagnostic pathology for pathology majors. Instruction based on necropsy cases with emphasis on necropsy protocol; sample collection and submission; recognition, description, and interpretation of gross and microscopic lesions; and case diagnosis based on all test results. Approved for letter and S/U grading. May be repeated to a maximum of 10 hours. Prerequisite: Graduate veterinarian, graduate student with major in pathology, and consent of instructors.",0 TO 6 hours.
PATH 552,Diagnostic Cytology,552,"Instruction in diagnostic cytology for clinical pathology majors. The course is for clinical pathology graduate students to advance their training in cytology. This is an intensive course with one-on-one training with the instructor. Clinical cytology cases and blood smears are evaluated microscopically and then a thorough written description and interpretation of each case is performed and reviewed. May be repeated in separate terms to a maximum of 30 graduate hours. Note that a maximum of 8 credit hours will count towards a graduate degree. Prerequisite: DVM degree or equivalent, clinical pathology graduate student or consent of instructor.",2 OR 4 hours.
PATH 556,Exotic/Wild Animal Diag Path 1,556,"Instruction in the performance of necropsy examinations on exotic and wild animals; emphasizes recognition, interpretation, oral presentations and written descriptions of gross and histologic lesions; emphasizes histologic features of lesions. For pathology majors only. May be repeated to a maximum of 10 hours. Prerequisite: VM 605 and VM 608; consent of instructor.",1 OR 2 hours.
PATH 557,Exotic/Wild Animal Diag Path 2,557,"Instruction in the use of supplemental diagnostic data in the areas of bacteriology, clinical pathology, immunology, parasitology, toxicology, and virology in arriving at differential and definitive diagnoses of wild and exotic animals. Pathogenesis of gross and histologic lesions and mechanisms of lesion development are emphasized. For pathology majors only. May be repeated to a maximum of 10 hours. Prerequisite: PATH 556 or equivalent or consent of instructor.",0 TO 2 hours.
PATH 558,Exotic/Wild Animal Path Sem,558,Discussion of selected pathologic and clinico-pathologic material pertaining to exotic and wild animals and presentation of a formal seminar. Approved for letter and S/U grading. May be repeated to a maximum of 6 hours. Prerequisite: Concurrent enrollment in PATH 556 or PATH 557 or consent of instructor.,0 TO 1 hours.
PATH 559,Surgical Pathology,559,"Discussion and interpretation of disease processes of domestic animals; emphasizes interpretation of pathologic changes in tissue specimens obtained during surgical procedures; correlates structure, function, and prognosis. Approved for letter and S/U grading. May be repeated to a maximum of 10 hours. Prerequisite: PATH 545 and PATH 546, or equivalent; consent of instructor.",0 TO 2 hours.
PATH 590,Seminar,590,Required of all graduate students whose major is veterinary pathobiology. Approved for letter and S/U grading.,0 or 1 hours.
PATH 592,Special Problems,592,Basic and applied study including orientation and research on pertinent initial and continuing problems in the student's area of interest. May be repeated to a maximum of 8 hours if topics vary. Prerequisite: Consent of instructor.,1 TO 4 hours.
PATH 598,Non-Thesis Research,598,Independent research to fulfill requirement for non-thesis alternative in Master of Science program only. Approved for S/U grading only. May be repeated to a maximum of 8 hours if topics vary. Credit is not given for both PATH 598 and PATH 599. Prerequisite: Must be Graduate Veterinarian.,1 TO 8 hours.
PATH 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PATH 692,Special Problems,692,"Individual research on a special problem chosen in consultation with the instructor and department head. Approved for both letter and S/U grading. May be repeated to a maximum of 6 hours if topics vary. 1 to 3 graduate hours.  1 to 3 professional hours. Prerequisite: Registration in veterinary curriculum with grade-point average of 3.0 or above, or consent of instructor.",1 TO 3 hours.
PBIO 599,Thesis Research,599,Individual work under supervision of members of the staff in their respective fields. Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PERS 201,Elementary Persian I,201,"Introduction to Persian, including conversation with a native speaker under the direction of a linguist-instructor, and a minimum of formal grammar and writing.",5 hours.
PERS 202,Elementary Persian II,202,"Continuation of PERS 201, with introduction of more advanced grammar and with emphasis on more fluency in speaking and reading. Prerequisite: PERS 201 or equivalent.",5 hours.
PERS 403,Intermediate Persian I,403,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 202.",4 hours.
PERS 404,Intermediate Persian II,404,"General review of the essentials of grammar, selected reading of materials emphasizing Iranian life and culture, compositions, and practice in speech. 4 undergraduate hours. 4 graduate hours. Prerequisite: PERS 403.",4 hours.
PERS 453,Advanced Persian I,453,"Students will develop the ability to read and understand paragraph level text, expand on their oral skills, continue to refine Persian writing skills and expand knowledge on Persian-speaking cultures. 3 undergraduate hours. 4 graduate hours. Prerequisite: PERS 403 and PERS 404; or consent of Persian Studies Program Director (determined after placement test taken by student).",3 OR 4 hours.
PERS 454,Advanced Persian II,454,"Continuation of PERS 453. Students will become independent users of the language by studying more complex structures and contexts such as stories, news reports and movies. Students will also learn details of Persian grammar and apply them in written tasks. 3 undergraduate hours. 4 graduate hours. Prerequisite: PERS 453; or consent of Persian Studies Program Director (determined after placement test taken by student).",3 OR 4 hours.
PHIL 390,Individual Study,390,Readings in selected philosophical topics. Course may be taken by honors students in partial fulfillment of department honors requirements. May be repeated to a maximum of 6 hours in separate terms. Prerequisite: Open to juniors and seniors with a grade-point average of 3.0 only by prior arrangement with a member of the faculty and with consent of the department director of undergraduate studies or the chair.,2 TO 4 hours.
PHIL 492,Thesis,492,Special training in philosophical investigation. Course may be taken by students pursuing graduation with distinction in partial fulfillment of those requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 4 undergraduate hours. Prerequisite: Open to seniors with a grade-point average of 3.5 in all philosophy courses only by prior arrangement with a member of the faculty and with consent of the department director of undergraduate studies or the chair.,2 TO 4 hours.
PHIL 583,Individual Topics,583,"Individual study and oral and written reports on topics not covered in other courses. Topics and plan of study must be approved by the candidate's adviser and by the staff member who directs the work. May be repeated. (Summer session, 2 to 8 hours).",2 OR 4 hours.
PHIL 590,Directed Research,590,Restricted to students satisfying requirements for the master's degree by writing a substantial essay. Approved for letter and S/U grading. May be repeated. Normally taken for 8 hours credit but may be taken for 12 hours credit with consent of department chair.,0 TO 12 hours.
PHIL 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PHYS 101,College Physics: Mech & Heat,101,"Newton's Laws, work and energy, rotational motion, fluids, thermodynamics, and waves. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both PHYS 101 and either PHYS 211 or PHYS 213. Prerequisite: Trigonometry.",5 hours.
PHYS 102,College Physics: E&M & Modern,102,"Electric forces and fields, electric potential, electric circuits, magnetic forces and fields, geometrical optics, relativity,  and modern physics. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both PHYS 102 and either PHYS 212 or PHYS 214. Prerequisite: PHYS 101.",5 hours.
PHYS 199,Undergraduate Open Seminar,199,Approved for letter and S/U grading. May be repeated.,0 TO 5 hours.
PHYS 211,University Physics: Mechanics,211,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231.",4 hours.
PHYS 212,University Physics: Elec & Mag,212,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.
PHYS 213,Univ Physics: Thermal Physics,213,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",2 hours.
PHYS 214,Univ Physics: Quantum Physics,214,"Interference and diffraction, photons and matter waves, the Bohr atom, uncertainty principle, and wave mechanics. A calculus-based course for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.",2 hours.
PHYS 403,Modern Experimental Physics,403,"Techniques and experiments in the physics of atoms, atomic nuclei, molecules, the solid state, and other areas of modern physical research. 5 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in PHYS 486.",4 OR 5 hours.
PHYS 497,Individual Study,497,Individual study at an advanced level in a subject not covered by course offerings. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated. Prerequisite: Consent of instructor.,1 TO 4 hours.
PHYS 597,Individual Study,597,Individual study in a subject not covered in course offerings may be arranged for credit by registration under this number. May be repeated. 2 to 16 hours for full term; 1 to 8 hours for half-term. Prerequisite: Consent of instructor.,1 TO 16 hours.
PHYS 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
PLPA 395,Undergrad Research or Thesis,395,"Independent research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. May be repeated. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Prerequisite: Cumulative GPA of 2.5 or above at the time the activity is arranged and consent of instructor.",1 TO 4 hours.
PLPA 599,Thesis Research,599,Individual study and basic and/or applied research related to plant disease; required of all students working toward the Master of Science or Doctor of Philosophy in Plant Pathology. 0 to 16 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in separate semesters.,0 TO 16 hours.
POL 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
PORT 199,Undergraduate Open Seminar,199,Approved for letter and S/U grading. May be repeated.,1 TO 5 hours.
PORT 460,Principles of Language Testing,460,"Studies theoretical and practical aspects of language testing. Examines purposes and types of language tests in relation to theories of language use and language teaching goals; discusses testing practices and procedures related to language teaching and language  research; and includes the planning, writing, and administration of tests, basic descriptive statistics, and test analysis. A project is required. Same as EPSY 487, FR 460, GER 460, ITAL 460, EIL 460, SLS 460, and SPAN 460. 3 undergraduate hours. 4 graduate hours. Prerequisite: EIL 489 or consent of instructor.",3 OR 4 hours.
